date,cases,deaths
02/29/2020,1,0
03/01/2020,0,0
03/02/2020,0,0
03/03/2020,2,0
03/04/2020,5,0
03/05/2020,3,0
03/06/2020,8,0
03/07/2020,7,0
03/08/2020,21,0
03/09/2020,58,0
03/10/2020,70,0
03/11/2020,155,1
03/12/2020,357,0
03/13/2020,620,0
03/14/2020,643,2
03/15/2020,1037,5
03/16/2020,2122,8
03/17/2020,2453,8
03/18/2020,2974,21
03/19/2020,3707,24
03/20/2020,4008,47
03/21/2020,2638,44
03/22/2020,2580,50
03/23/2020,3572,82
03/24/2020,4508,95
03/25/2020,4871,124
03/26/2020,5051,190
03/27/2020,5123,218
03/28/2020,3476,274
03/29/2020,3561,292
03/30/2020,6133,325
03/31/2020,5467,385
04/01/2020,5459,447
04/02/2020,5762,499
04/03/2020,5675,499
04/04/2020,3867,512
04/05/2020,3792,580
04/06/2020,6372,575
04/07/2020,6061,599
04/08/2020,5585,569
04/09/2020,5072,561
04/10/2020,4517,540
04/11/2020,3731,543
04/12/2020,2890,572
04/13/2020,3313,571
04/14/2020,4147,510
04/15/2020,3878,455
04/16/2020,3529,414
04/17/2020,3584,385
04/18/2020,2173,390
04/19/2020,2346,400
04/20/2020,3793,364
04/21/2020,3065,324
04/22/2020,3461,313
04/23/2020,2843,332
04/24/2020,2539,316
04/25/2020,1595,266
04/26/2020,1003,246
04/27/2020,2297,271
04/28/2020,2730,228
04/29/2020,2342,240
04/30/2020,2024,225
05/01/2020,1889,210
05/02/2020,1060,192
05/03/2020,785,178
05/04/2020,1551,159
05/05/2020,1513,151
05/06/2020,1402,150
05/07/2020,1235,142
05/08/2020,1081,131
05/09/2020,657,100
05/10/2020,458,103
05/11/2020,1233,103
05/12/2020,1285,91
05/13/2020,1335,83
05/14/2020,1112,70
05/15/2020,875,86
05/16/2020,488,83
05/17/2020,359,77
05/18/2020,900,58
05/19/2020,1004,54
05/20/2020,1081,81
05/21/2020,1071,45
05/22/2020,1057,65
05/23/2020,461,60
05/24/2020,476,49
05/25/2020,469,49
05/26/2020,1055,38
05/27/2020,745,49
05/28/2020,646,38
05/29/2020,647,43
05/30/2020,348,54
05/31/2020,231,39
06/01/2020,687,34
06/02/2020,574,38
06/03/2020,515,43
06/04/2020,526,33
06/05/2020,403,28
06/06/2020,247,35
06/07/2020,199,25
06/08/2020,451,40
06/09/2020,420,33
06/10/2020,365,32
06/11/2020,368,21
06/12/2020,410,23
06/13/2020,196,15
06/14/2020,183,24
06/15/2020,379,20
06/16/2020,422,18
06/17/2020,356,20
06/18/2020,379,17
06/19/2020,361,17
06/20/2020,205,19
06/21/2020,176,28
06/22/2020,397,25
06/23/2020,383,27
06/24/2020,382,25
06/25/2020,296,19
06/26/2020,311,20
06/27/2020,208,21
